total_bill,tip,sex,smoker,day,time,size,tip_pct
16.99,1.01,Female,No,Sun,Dinner,2,5.9446733372572105
10.34,1.66,Male,No,Sun,Dinner,3,16.054158607350097
21.01,3.5,Male,No,Sun,Dinner,3,16.658733936220845
23.68,3.31,Male,No,Sun,Dinner,2,13.97804054054054
24.59,3.61,Female,No,Sun,Dinner,4,14.680764538430255
25.29,4.71,Male,No,Sun,Dinner,4,18.62396204033215
8.77,2.0,Male,No,Sun,Dinner,2,22.80501710376283
26.88,3.12,Male,No,Sun,Dinner,4,11.607142857142858
15.04,1.96,Male,No,Sun,Dinner,2,13.031914893617023
14.78,3.23,Male,No,Sun,Dinner,2,21.853856562922868
10.27,1.71,Male,No,Sun,Dinner,2,16.65043816942551
35.26,5.0,Female,No,Sun,Dinner,4,14.180374361883155
15.42,1.57,Male,No,Sun,Dinner,2,10.181582360570687
18.43,3.0,Male,No,Sun,Dinner,4,16.277807921866522
14.83,3.02,Female,No,Sun,Dinner,2,20.364126770060686
21.58,3.92,Male,No,Sun,Dinner,2,18.164967562557923
10.33,1.67,Female,No,Sun,Dinner,3,16.16650532429816
16.29,3.71,Male,No,Sun,Dinner,3,22.774708410067525
16.97,3.5,Female,No,Sun,Dinner,3,20.624631703005306
20.65,3.35,Male,No,Sat,Dinner,3,16.222760290556902
17.92,4.08,Male,No,Sat,Dinner,2,22.767857142857142
20.29,2.75,Female,No,Sat,Dinner,2,13.553474618038445
15.77,2.23,Female,No,Sat,Dinner,2,14.140773620798985
39.42,7.58,Male,No,Sat,Dinner,4,19.228817858954844
19.82,3.18,Female,No,Sat,Dinner,2,16.044399596367306
17.81,2.34,Male,No,Sat,Dinner,2,13.138686131386862
13.37,2.0,Female,No,Sat,Dinner,2,14.958863126402393
12.69,2.0,Male,No,Sat,Dinner,2,15.760441292356187
21.7,4.3,Male,No,Sat,Dinner,2,19.81566820276498
19.81,4.0,Male,No,Sat,Dinner,2,20.191822311963655
28.97,3.63,Male,Yes,Sat,Dinner,2,12.530203658957543
22.49,3.86,Male,No,Sat,Dinner,2,17.16318363717208
5.75,1.0,Male,Yes,Sat,Dinner,1,17.391304347826086
16.32,4.3,Male,No,Sat,Dinner,2,26.348039215686274
22.75,3.48,Male,Yes,Sat,Dinner,2,15.296703296703296
40.17,4.73,Male,No,Sat,Dinner,4,11.77495643515061
27.28,4.0,Male,Yes,Sat,Dinner,4,14.662756598240467
12.03,1.5,Male,No,Sat,Dinner,2,12.468827930174564
21.01,3.0,Male,No,Sat,Dinner,2,14.27891480247501
12.46,1.5,Male,No,Sat,Dinner,2,12.03852327447833
11.35,2.5,Female,No,Sat,Dinner,1,22.026431718061676
15.38,3.0,Female,No,Sat,Dinner,2,19.505851755526656
44.3,2.5,Male,Yes,Fri,Dinner,2,5.643340857787811
22.42,3.48,Male,Yes,Fri,Dinner,2,15.521855486173058
20.92,4.08,Female,No,Fri,Dinner,2,19.50286806883365
15.36,1.64,Female,No,Fri,Dinner,1,10.677083333333332
20.49,3.16,Male,Yes,Fri,Dinner,2,15.422157149829188
25.71,5.0,Male,Yes,Fri,Dinner,4,19.447685725398678
29.85,5.14,Male,No,Fri,Dinner,2,17.219430485762143
48.17,5.0,Male,No,Fri,Dinner,2,10.379904504878555
25.0,3.75,Male,Yes,Fri,Dinner,2,15.0
13.39,2.61,Female,No,Thur,Lunch,2,19.49215832710978
16.49,2.0,Female,No,Thur,Lunch,2,12.128562765312312
21.5,3.5,Male,No,Thur,Lunch,3,16.27906976744186
12.66,2.5,Female,No,Thur,Lunch,2,19.747235387045812
16.21,3.0,Male,No,Thur,Lunch,2,18.507094386181368
13.81,2.0,Male,No,Thur,Lunch,2,14.482259232440258
17.51,3.0,Male,No,Thur,Lunch,3,17.133066818960593
24.52,3.48,Male,Yes,Thur,Lunch,2,14.192495921696574
20.76,2.24,Male,No,Thur,Lunch,2,10.789980732177264
31.71,4.09,Male,Yes,Thur,Lunch,2,12.898139388205612
10.51,1.44,Male,No,Thur,Lunch,2,13.701236917221692
10.63,2.0,Female,No,Thur,Lunch,2,18.814675446848543
13.42,1.8,Female,No,Thur,Lunch,2,13.412816691505217
18.29,3.0,Male,No,Thur,Lunch,2,16.402405686167302
17.59,2.64,Male,No,Thur,Lunch,2,15.008527572484368
20.08,3.15,Male,No,Thur,Lunch,2,15.687250996015937
16.45,2.47,Female,No,Thur,Lunch,2,15.01519756838906
3.07,1.0,Female,Yes,Thur,Lunch,1,32.57328990228013
20.23,2.01,Male,No,Thur,Lunch,2,9.935739001482945
15.01,2.09,Male,No,Thur,Lunch,2,13.924050632911392
15.36,1.64,Female,No,Fri,Dinner,2,10.677083333333332
44.3,2.5,Male,Yes,Fri,Dinner,2,5.643340857787811
22.42,3.48,Male,Yes,Fri,Dinner,2,15.521855486173058
20.92,4.08,Female,No,Fri,Dinner,2,19.50286806883365
15.36,1.64,Female,No,Fri,Dinner,1,10.677083333333332
20.49,3.16,Male,Yes,Fri,Dinner,2,15.422157149829188
25.71,5.0,Male,Yes,Fri,Dinner,4,19.447685725398678
29.85,5.14,Male,No,Fri,Dinner,2,17.219430485762143
48.17,5.0,Male,No,Fri,Dinner,2,10.379904504878555
